UM,REPORT
preexisting medical condition,"At 8:45 p.m. on May 3, 2017, an employee pulled his forklift into a press area and told his supervisor that he was not feeling well.  The supervisor walked the employee into the die shop and the employee collapsed.  CPR was administered with no response. "
machinery and equipment,"At 6:15 a.m. on May 3, 2017, an employee had started a 2000 Peterbilt Tractor to supply air to the spring brakes so they could be changed.  The employee was struck by the tractor when the brakes released and was run over, killing him. "
preexisting medical condition,"At 2:30 p.m. on May 3, 2017, an employee was supervising crews that were harvesting vegetables.  The employee was ill and became dizzy, fainted, lost consciousness, and died. "
heavy vehicle,"At 1:00 a.m. on May 2, 2017, an employee was operating a track hoe feeding a concrete crusher.  The employee was crushed when he climbed into the crusher's feed hopper and fell into the crushing chamber while it was operating. "
heavy vehicle,"At 9:00 a.m. on May 2, 2017, an employee was moving some earth from a hill in preparation for residential construction and was operating a Caterpillar 651B scraper, serial #067K00455.   The employee lost control of the scraper while traveling up a hill.  The scraper stopped and began rolling back down the hill approximately 150-200 feet.  A coworker was following the first scraper and began backing away when both vehicles collided.  Paramedics responded and provided treatment for multiple head injuries to the employee onsite but later declared the employee dead at the scene. "
working at height,"At 8:00 a.m. on May 2, 2017, an employee was removing old network protectors from a University Hospital concrete electrical system vault that was staged at the bottom of the vault.  The employee was standing at the ground-level opening of the vault alongside a metal grate covering the opening and signaled a boom truck operator to pick up a 13 inch grate he had attached onto the crane's hook.  The employee fell approximately 23 feet when the grate gave way as the crane started to pick up a second piece of grating.  The employee suffered multiple head, facial , and extremity fractures  as well as internal injuries. "
working at height,"At 6:45 p.m. on May 2, 2017, an employee was taking photos of the work completed on a cell tower and fell 220 feet.  The employee was killed at the scene. "
working at height,"At 11:27 a.m. on May 1, 2017, an employee was using a pneumatic nail gun to perform sheathing work on the east facing exterior of the residential building from a portable extension ladder.  The employee fell and landed on some water pipes approximately 12 feet when the ladder collapsed. "
others,"At 10:56 a.m. on May 1, 2017, two employee were transporting two inmates back from the Pottawattamie County courthouse to Pottawattamie County Jail.  Both employees were shot by an inmate with a firearm. "
handling heavy/sharp object/material,"At 8:30 a.m. on May 1, 2017, an employee was removing a pipe from a rail car. The employee attempted to carry a large pipe from the top of a rail car and fell off.  The employee received fractures to face and wrists. "
working at height,"At 2:30 p.m. on May 1, 2017, an employee was working on the top of the plating tank to fix jammed hoist.  The employer is a full service printed circuit board manufacturer providing semiconductor industry PCB Design, Fabrication, and Assembly.   Employee #1 was operating equipment at Cuposit plating line inside the production area. During the plating process the panel loaded on a hoist got jammed on tank #4. Employee #1 climbed on top of plating tank and performed maintenance work. When he was going down his left foot slipped and went inside the plating tank containing hot chemical mixtures. Employee #1 was transported to the hospital in San Jose for treatment of chemical burns. "
machinery and equipment,"At 2:00 p.m. on May 1, 2017, an employee was setting up the Ram form machine. The employee's hand was in between the blocks when the employee activated the machine by using the foot pedal, amputating the employees thumb, index and middle fingers. "
others,"On April 30, 2017, one employee was killed and another employee was hospitalized for asphyxia. No other details were provided. "
working at height,"At 11:15 a.m. on April 30, 2017, Employee #1 was installing metal sheeting on a roof and using a wooden walk board. The employee stumbled and fell, fracturing his ribs, and sustaining a lung contusion and scalp laceration. Employee #1 was hospitalized for his injuries. "
